client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,261,0.65,0.95,3,36
1,0,15,0.34,0.75,15,37
2,0,86,0.66,0.9,27,38
3,0,531,0.73,0.95,39,39
0,1,522,0.8,0.96,42,75
1,1,29,0.48,0.86,54,76
2,1,172,0.72,0.93,66,77
3,1,1062,0.78,0.95,78,78
0,2,783,0.83,0.96,81,114
1,2,43,0.51,0.8,93,115
2,2,258,0.72,0.95,105,116
3,2,1593,0.78,0.94,117,117
0,3,1043,0.79,0.96,120,153
1,3,57,0.55,0.85,132,154
2,3,343,0.77,0.94,144,155
3,3,2124,0.81,0.95,156,156
0,4,1303,0.8,0.96,159,192
1,4,71,0.51,0.84,171,193
2,4,428,0.74,0.94,183,194
3,4,2655,0.8,0.96,195,195
