client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.63,0.93,4,48
1,0,47,0.25,0.68,16,49
2,0,86,0.63,0.92,28,50
3,0,143,0.68,0.92,40,51
4,0,529,0.82,0.95,52,52
0,1,176,0.67,0.93,56,100
1,1,94,0.53,0.81,68,101
2,1,172,0.67,0.92,80,102
3,1,286,0.75,0.93,92,103
4,1,1058,0.82,0.96,104,104
0,2,264,0.76,0.95,108,152
1,2,141,0.66,0.87,120,153
2,2,258,0.7,0.94,132,154
3,2,429,0.77,0.91,144,155
4,2,1587,0.81,0.96,156,156
0,3,351,0.73,0.94,160,204
1,3,188,0.64,0.91,172,205
2,3,343,0.66,0.9,184,206
3,3,571,0.74,0.92,196,207
4,3,2116,0.84,0.97,208,208
0,4,438,0.68,0.95,212,256
1,4,234,0.61,0.87,224,257
2,4,428,0.74,0.94,236,258
3,4,713,0.73,0.96,248,259
4,4,2644,0.83,0.96,260,260
