client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.26,0.88,1,12
1,0,47,0.38,0.69,1,12
2,0,86,0.1,0.74,13,13
3,0,143,0.7,0.92,1,12
4,0,529,0.84,0.96,13,13
0,1,176,0.57,0.94,26,26
1,1,94,0.37,0.81,14,25
2,1,172,0.4,0.93,26,26
3,1,286,0.67,0.92,2,24
4,1,1058,0.85,0.96,26,26
0,2,264,0.8,0.95,27,38
1,2,141,0.57,0.86,51,40
2,2,258,0.72,0.94,39,39
3,2,429,0.75,0.91,27,38
4,2,1587,0.82,0.96,39,39
0,3,351,0.77,0.94,28,50
1,3,188,0.66,0.92,52,52
2,3,343,0.69,0.9,52,52
3,3,571,0.75,0.92,40,51
4,3,2116,0.86,0.97,64,53
0,4,438,0.73,0.95,41,63
1,4,234,0.66,0.87,65,65
2,4,428,0.73,0.94,65,65
3,4,713,0.79,0.96,41,63
4,4,2644,0.83,0.96,65,65
