client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.68,0.93,3,36
1,0,47,0.31,0.68,15,37
2,0,86,0.67,0.92,15,37
3,0,143,0.71,0.92,27,38
4,0,529,0.81,0.95,39,39
0,1,176,0.67,0.93,54,76
1,1,94,0.45,0.81,54,76
2,1,172,0.69,0.92,66,77
3,1,286,0.76,0.93,42,75
4,1,1058,0.83,0.96,78,78
0,2,264,0.78,0.95,105,116
1,2,141,0.66,0.87,105,116
2,2,258,0.71,0.94,105,116
3,2,429,0.76,0.91,57,112
4,2,1587,0.84,0.96,129,118
0,3,351,0.74,0.95,132,154
1,3,188,0.64,0.91,132,154
2,3,343,0.69,0.9,156,156
3,3,571,0.75,0.92,96,151
4,3,2116,0.84,0.97,180,158
0,4,438,0.71,0.95,183,194
1,4,234,0.63,0.87,147,191
2,4,428,0.74,0.94,195,195
3,4,713,0.76,0.96,135,190
4,4,2644,0.82,0.96,207,196
