client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,261,0.74,0.95,13,23
1,0,15,0.36,0.76,13,23
2,0,86,0.66,0.9,13,23
3,0,531,0.76,0.95,13,23
0,1,522,0.84,0.96,26,46
1,1,29,0.47,0.85,26,46
2,1,172,0.72,0.93,26,46
3,1,1062,0.78,0.95,26,46
0,2,783,0.83,0.96,39,69
1,2,43,0.52,0.79,39,69
2,2,258,0.77,0.95,39,69
3,2,1593,0.79,0.94,39,69
0,3,1043,0.79,0.96,52,92
1,3,57,0.57,0.84,52,92
2,3,343,0.73,0.94,52,92
3,3,2124,0.8,0.95,52,92
0,4,1303,0.83,0.96,65,115
1,4,71,0.54,0.84,65,115
2,4,428,0.72,0.94,65,115
3,4,2655,0.81,0.96,65,115
