client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.7,0.93,1,12
1,0,47,0.37,0.69,1,12
2,0,86,0.5,0.91,1,12
3,0,143,0.46,0.9,1,12
4,0,529,0.83,0.96,13,13
0,1,176,0.59,0.94,14,25
1,1,94,0.46,0.81,14,25
2,1,172,0.54,0.92,14,25
3,1,286,0.65,0.93,14,25
4,1,1058,0.85,0.96,26,26
0,2,264,0.75,0.95,27,38
1,2,141,0.66,0.87,27,38
2,2,258,0.75,0.94,27,38
3,2,429,0.77,0.91,27,38
4,2,1587,0.81,0.96,39,39
0,3,351,0.75,0.94,40,51
1,3,188,0.67,0.92,40,51
2,3,343,0.69,0.9,40,51
3,3,571,0.76,0.92,40,51
4,3,2116,0.87,0.97,52,52
0,4,438,0.71,0.95,53,64
1,4,234,0.64,0.88,53,64
2,4,428,0.72,0.94,53,64
3,4,713,0.77,0.96,53,64
4,4,2644,0.84,0.96,65,65
