client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,605,0.82,0.96,13,23
1,0,287,0.7,0.95,13,23
0,1,1210,0.8,0.96,25,23
1,1,574,0.77,0.95,25,23
0,1,1210,0.8,0.96,26,46
1,1,574,0.74,0.95,26,46
0,2,1815,0.84,0.96,38,46
1,2,860,0.83,0.95,38,46
0,2,1815,0.85,0.96,39,69
1,2,860,0.83,0.95,39,69
0,3,2420,0.83,0.96,51,69
1,3,1146,0.81,0.96,51,69
0,3,2420,0.83,0.96,52,92
1,3,1146,0.83,0.96,52,92
0,4,3025,0.86,0.96,64,92
1,4,1432,0.83,0.96,64,92
0,4,3025,0.86,0.96,65,115
1,4,1432,0.83,0.96,65,115
