client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.44,0.86,1,12
1,0,47,0.34,0.67,13,13
0,1,176,0.59,0.92,14,25
1,1,94,0.27,0.81,26,26
0,2,264,0.77,0.95,27,38
1,2,141,0.54,0.87,39,39
0,3,351,0.77,0.94,40,51
1,3,188,0.69,0.92,52,52
0,4,438,0.71,0.94,53,64
1,4,234,0.66,0.87,65,65
