client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.41,0.9,2,24
1,0,47,0.22,0.68,14,25
2,0,86,0.22,0.74,26,26
0,1,176,0.45,0.92,28,50
1,1,94,0.12,0.81,40,51
2,1,172,0.27,0.92,52,52
0,2,264,0.77,0.95,54,76
1,2,141,0.54,0.86,66,77
2,2,258,0.74,0.94,78,78
0,3,351,0.77,0.94,80,102
1,3,188,0.67,0.91,92,103
2,3,343,0.73,0.9,104,104
0,4,438,0.72,0.95,106,128
1,4,234,0.66,0.88,118,129
2,4,428,0.75,0.94,130,130
