client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.23,0.88,13,23
1,0,47,0.34,0.67,13,23
0,1,176,0.66,0.93,26,46
1,1,94,0.18,0.81,26,46
0,2,264,0.8,0.95,39,69
1,2,141,0.6,0.87,39,69
0,3,351,0.78,0.95,52,92
1,3,188,0.7,0.92,52,92
0,4,438,0.74,0.95,65,115
1,4,234,0.66,0.88,65,115
